Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
inspra 25mg tablet,7,C03DA04,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
insulin product,5802,A10A,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
intal 5mg inhaler,30,R03BC01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
integrin 10mg capsule,1,N05AE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interferon alfa,5,L03AB01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferon alfa-2a,8,L03AB04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferon alfa-2b,7,L03AB05,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferon beta,11,L03AB,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferon beta-1a,19,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferon beta-1b,3,L03AB08,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
interferons,14,L03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
introna 25million iu/5ml injection solution,1,L03AB05,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
introna-2b 3million iu injection (pdr for recon)+diluent,1,L03AB05,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
invirase 200mg capsule,2,J05AE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
iocare balanced salt solution,1,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
iopidine ophthalmic 0.5% intra-ocular solution,16,S01EA03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ipecacuanha+morphine mixture,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipocol 400mg e/c tablet,4,A07EC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipratropium,618,R01AX03|R03BB01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
iprindole,2,N06AA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irbesartan,4213,C09CA04,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
irbesartan+hydrochlorothiazide 150mg/12.5mg tablet,136,C09DA04,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
iron product,1727,B03A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iron sulphate,233,B03A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iron+folic acid,348,B03AD,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironorm capsule,1,B03AA07,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isdn - isosorbide dinitrate,10,C05AE02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isib 20mg tablet,24,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismn - isosorbide mononitrate,303,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismo - isosorbide mononitrate,177,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismo 10 tablet,12,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso-autohaler 80micrograms inhaler,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso-brovon pressurised inhaler,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isocarboxazid,3,N06AF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isodur 25xl m/r capsule,5,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isogel granules,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoket 10mg tablet,3,C05AE02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isometheptene mucate+paracetamol 65mg/325mg capsule,1,A03AX10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isoniazid,12,J04AC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
isoprenaline,3,R03CB01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
isopto atropine 1% eye drops,10,S01FA01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
isopto carpine 0.5% eye drops,1,S01EB01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
isopto epinal 1% eye drops,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isopto frin eye drops,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isopto plain 0.5% eye drops,22,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
isordil 5mg sublingual tablet,3,C05AE02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isosorbide dinitrate,120,C01DA08|C05AE02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isosorbide mononitrate,1789,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isosorbide mononitrate product,99,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isosorbide mononitrate+aspirin,3,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotard 25xl m/r tablet,210,C01DA14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotrate 10mg tablet,1,C05AE02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotretinoin,17,D10AD04|D10BA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotretinoin+erythromycin 0.05%/2% gel,1,D10AD04|D10BA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotrex gel,7,D10BA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotrexin gel,2,D10AD54,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ispagel 3.5g/sachet s/f powder,45,A06AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ispaghula husk,498,A06AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ispaghula husk product,161,A06AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isradipine,5,C08CA03,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
istin 5mg tablet,182,C08CA01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
itraconazole,57,J02AC02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
itraconazole 100mg capsule,16,J02AC02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
itraconazole 10mg/ml s/f oral solution,1,J02AC02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
juvel tablet,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k/l dry skin cream,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaletra 133.3mg/33.3mg capsule,28,J05AR10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
kaletra 400mg/100mg/5ml oral solution,5,J05AR10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
kalms tablet,116,N05CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalspare tablet,1,C03DB02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
kalten capsule,16,C07DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
kamillosan ointment,1,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaolin product,1,A07BC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaolin+morphine,3,A07BC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapake 30/500 effervescent tablet,18,N02AJ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapake capsule,92,N02AJ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapake insts 500mg/30mg/sachet powder,2,N02AJ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapake tablet,129,N02AJ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaplon 12.5mg tablet,1,C09AA01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
keflex 250mg capsule,4,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keflex 250mg tablet,6,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keflex 250mg/5ml suspension,1,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keflex 500mg capsule,9,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keflex 500mg tablet,2,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keflex-c 125mg chewable tablet,1,J01DB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
keloc sr 5mg m/r tablet,3,C08CA02,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
kelp+garlic product,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kemadrin 5mg tablet,7,N04AA04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kentace 1.5mg tablet,1,N05AD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keppra 250mg tablet,156,N03AX14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keral 25mg tablet,2,M01AE17,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
kerfoot hydrocortisone cream,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketil 2.5% gel,1,M02AA10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketil cr 100mg m/r capsule,1,M01AE03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketocid 200 m/r capsule,2,M01AE03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketoconazole,47,D01AC08|G01AF11|J02AB02,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
ketoconazole 2% cream,12,D01AC08,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketoconazole 2% shampoo,85,D01AC08,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketopine 2% shampoo,13,D01AC08,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketoprofen,153,M01AE03|M02AA10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketoprofen 2.5% gel,57,M02AA10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketorolac,17,M01AB15|S01BC05,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
ketotifen,21,R06AX17|S01GX08,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
ketovail 100mg m/r capsule,2,M01AE03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ketovite tablet,17,A11B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klaricid 125mg/5ml paediatric suspension,1,J01FA09,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
klaricid 250mg tablet,8,J01FA09,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
klaricid xl 500mg m/r tablet,2,J01FA09,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
kliofem tablet,417,G03FA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
kliovance 1mg/0.5mg tablet,1072,G03FA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
kloref 500mg effervescent tablet,1,A12BA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kolanticon gel,38,A03A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konakion 10mg tablet,2,B02BA01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwells tablet,2,A04AD01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labetalol,73,C07AG01,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
lachesine chloride,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacidipine,588,C08CA09,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lacri-lube eye ointment,813,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
lacticare lotion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactitol,2,A06AD12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactugal solution,34,A06AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactulose product,1455,A06AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamictal 25mg tablet,93,N03AX09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamisil 1% cream,32,D01AE15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamisil 250mg tablet,30,D01BA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamisil at 1% cream,14,D01AE15,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamisil at 1% gel,1,D01BA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamisil at 1% spray,3,D01BA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamivudine,67,J05AF05,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lamivudine+zidovudine,3,J05AR01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lamotrigine,689,N03AX09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanacort cream,2,D07AA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanoxin-pg 62.5micrograms tablet,2,C01AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanreotide,11,H01CB03,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
lansoprazole,21061,A02BC03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larapam 10mg capsule,3,S01BC06,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
largactil 10mg tablet,16,N05AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lariam 250mg tablet,11,P01BC02,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
larodopa 500mg tablet,2,N04BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasilactone capsule,7,C03EB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
lasix 20mg tablet,9,C03CA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
lassar's paste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latanoprost,1337,S01EE01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
latanoprost+timolol,99,S01ED51,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
laxative,102,A06AB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxoberal 5mg/5ml elixir,7,A06AB08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxoberal 5mg/5ml liquid,9,A06AB08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laxose solution,5,A06AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l-carnitine product,17,A16AA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lecithin product,277,N07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leflunomide,239,L04AA13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
lejfibre 10g biscuits,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemsip flu 12hr ibuprofen+pseudoephedrine capsule,1,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemsip max sinus all night decongestant 0.05% nasal spray,5,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemsip pharmacy non-decongestant formula sachet powder,1,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemsip sachet,31,N02BE51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lercanidipine,1610,C08CA13,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
lergoban 5mg m/r tablet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lescol 20mg capsule,20,C10AA04,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
letrozole,512,L02BG04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
leuprorelin,23,L02AE02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
levacetylmethadol hydrochloride,1,N07BC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levetiracetam,242,N03AX14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levitra 10mg tablet,40,G04BE09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levitra 20mg tablet,42,G04BE09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levitra 5mg tablet,10,G04BE09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levobunolol,60,S01ED03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
levocabastine,1,S01GX02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
levocetirizine,321,R06AE09,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
levodopa,21,N04BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levodopa+careldopa+entacapone,6,N04BX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levofloxacin,8,S01AE05,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
levomepromazine,8,N05AA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levonelle 750micrograms tablet,1,G03AD01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levonorgestrel,26,G03AC03|G03AD01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levonorgestrel product,16,G03AC03|G03AD01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
levorphanol,1,N02AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levothyroxine sodium,24345,H03AA01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
lexotan 1.5mg tablet,3,N05BA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh-rh - gonadotrophin-releasing hormone,3,H01CC01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
libanil 2.5mg tablet,1,A10BB01,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
librium 5mg tablet,9,N05BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
librofem 200mg tablet,15,R02AX02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
lidoflazine,2,C08EX01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
limbitrol 10 capsule,2,N05BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limbitrol-5 capsule,1,N05BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lincomycin,2,J01FF02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
linezolid,1,J01XX08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lioresal 10mg tablet,3,M03BX01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
lioresal 5mg/5ml s/f liquid,1,M03BX01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
liothyronine,135,H03AA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
lipantil micro 67mg capsule,104,C10AB05,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
liparol xl 400mg m/r tablet,3,C10AB02,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
lipid lowering drug,29,C10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipitor 10mg tablet,3981,C10AA05,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
lipobase cream,6,D02AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
liposic eye gel,4,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
lipostat 10mg tablet,33,C10AA03,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
lipotriad capsule,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid paraffin,34,A06AA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid paraffin product,48,A06AA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquid paraffin+white soft paraffin 50%/50% ointment,27,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
liquifilm tears 1.4% eye drops,215,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
liquivisc 0.25% eye gel,8,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
liquorice,5,A02AF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lisicostad hct 10/12.5mg tablet,5,C09BA03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
lisinopril,15896,C09AA03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
lisinopril+hydrochlorothiazide 10mg/12.5mg tablet,188,C09BA03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
liskonum 450mg m/r tablet,1,N05AN01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithium product,524,N05AN01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithonate 400mg m/r tablet,1,N05AN01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livial 2.5mg tablet,690,G03CX01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
loceryl cream,2,D01AE16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
loceryl nail lacquer,54,D01AE16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
locobase cream,2,D02AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
locoid 0.1% cream,96,D07AB02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
locorten-vioform ear drops,44,S02AA30,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
lodine 200mg tablet,220,M01AB08,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
lodoxamide,26,S01GX05,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
loestrin 20 tablet,216,G03AA05,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lofepramine,406,N06AA07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofexidine,1,N07BC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logynon tablet,201,G03AA07,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lomexin 200mg pessary,1,G01AF12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lomotil tablet,76,A07DA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loniten 2.5mg tablet,5,D11AX01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lopace 2.5mg capsule,11,C09AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
loperagen 2mg capsule,3,A07DA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loperamide,1765,A07DA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loperamide hydrochloride+simethicone,60,A07DA53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lopid 300 capsule,5,C10AB04,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
lopinavir+ritonavir,14,J05AR10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
loprazolam,58,N05CD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lopresor 50mg tablet,6,C07AB02,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
loratadine,4138,R06AX13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
loratadine product,117,R06AX13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
lorazepam,183,N05BA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lormetazepam,49,N05CD06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loron 400mg capsule,7,M05BA02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
losartan,6204,C09CA01,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet,495,C09DA01,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
losec 10mg capsule,401,A02BC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotriderm cream,37,D01AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
lubrifilm eye ointment,9,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ludiomil 10mg tablet,1,N06AA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumigan 0.3mg/ml eye drops,430,S01EE03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
lustral 50mg tablet,72,N06AB06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luteal hormone,2,G03DA04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
luteine,411,V06D,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
lymecycline,308,J01AA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
lyrica 25mg capsule,170,N03AX16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lyrinel xl 5mg m/r tablet,79,G04BD04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lysuride,1,N02CA07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maalox plus suspension,41,A02AF02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maalox tablet,18,A02A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macrobid 100mg m/r capsule,2,J01XE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
macrodantin 100mg capsule,22,J01XE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
macrodantin 50mg capsule,31,J01XE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
macrogol ointment,131,A06AD15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madopar 62.5 capsule,161,N04BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnapen capsule,2,J01CR50,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
magnesium carbonate,177,A02AA01|A06AD01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium citrate,190,A06AD19|A12CC04|B05CB03,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium hydroxide,50,A02AA04|G04BX01,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium sulphate 50% retention enema,1,A06AD04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium trisilicate,27,A02A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnesium trisilicate+belladonna 0.15mg tablet,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malarivon 80mg/5ml syrup,1,P01BA01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
malarone tablet,51,P01BB51,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
malinal 500mg/5ml suspension,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mandafen 400mg tablet,1,M01AE01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
